id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,media_alt_texts,mentioned_names,mentioned_ids,hashtags
1652462630798229505,1682812767,2023-04-29T23:59:27,M31Lukas,"RT @Paxter_Redwyne: Als Nagelsmann mal den Schiedsrichter ein bisschen härter angegangen ist, war das medial wochenlang Thema.
Wenn die halbe Chefetage des #BVB gestern nach dem Spiel die Schiedsrichterkabine stürmt, wird darüber kaum ein Wort verloren. 
Alles wie immer.  

#FCBayern #BOCBVB",0,0,0,0,de,,,,,,,,,1025364910048456707,Lukinho31,0,@modahoud8 stan,,https://pbs.twimg.com/profile_images/1565806071842832384/0jDUnm-F_normal.jpg,753,57,143,,0,2018-08-03T12:56:59,1533301019,,1,1652265275541057539,Paxter_Redwyne,491330917,1682765713,,,,,2023-05-02T10:29:43.973840,https://twitter.com/M31Lukas/status/1652462630798229505,,,,,,,,,,,Paxter_Redwyne,491330917,
1652265275541057539,1682765713,2023-04-29T10:55:13,Paxter_Redwyne,"Als Nagelsmann mal den Schiedsrichter ein bisschen härter angegangen ist, war das medial wochenlang Thema.
Wenn die halbe Chefetage des #BVB gestern nach dem Spiel die Schiedsrichterkabine stürmt, wird darüber kaum ein Wort verloren. 
Alles wie immer.  

#FCBayern #BOCBVB",0,70,1924,62,de,,,,,,Baden Baden/BaWü/Germany,,,491330917,Redwyne,0,"Kaffeejunkie & Gummibärchenvernascher | Bücher, Musik, Filme | Irgendwas mit Medien | Mia san Mia!",https://www.instagram.com/paxter.redwyne/,https://pbs.twimg.com/profile_images/1159846277917446145/isUhTyzP_normal.jpg,106842,6131,237,,158,2012-02-13T14:28:51,1329143331,retweet,1,,,,,,,,,2023-05-02T10:29:43.973797,https://twitter.com/Paxter_Redwyne/status/1652265275541057539,,,,,,,,,,,,,BOCBVB|BVB|FCBayern
1652458848563625984,1682811865,2023-04-29T23:44:25,FCBayernDhaka,"RT @shin22076561: @pitgottschalk @SPORT1 @dfbschiris Da gibt es nix, was er machen kann.

Er hat dem #bvb die Meisterschaft damit geklaut.

Toll für uns #FCBayern aber mit dieser Schuld wird er leben müssen (können seine Kollegen ja auch, die uns regelmäßig helfen die Konkurrenz auf Distanz zu halten)

#bocbvb",0,0,0,0,de,,,,,,"Dhaka, Bangladesch",,,846723493471440896,FCBayern Bangladesh,0,Follow to stay updated all about #FCBayern. For contact @eeazim,,https://pbs.twimg.com/profile_images/907273287318646784/Xe-UsF_u_normal.jpg,110783,876,51,,14,2017-03-28T13:59:47,1490709587,,1,1652451492861730816,shin22076561,1471972024444764166,1682810111,,,,,2023-05-02T10:29:43.974078,https://twitter.com/FCBayernDhaka/status/1652458848563625984,,,,,,,,,,,SPORT1|dfbschiris|pitgottschalk|shin22076561,106053|1298963008761274368|21386772|1471972024444764166,bvb
1652451492861730816,1682810111,2023-04-29T23:15:11,shin22076561,"@pitgottschalk @SPORT1 @dfbschiris Da gibt es nix, was er machen kann.

Er hat dem #bvb die Meisterschaft damit geklaut.

Toll für uns #FCBayern aber mit dieser Schuld wird er leben müssen (können seine Kollegen ja auch, die uns regelmäßig helfen die Konkurrenz auf Distanz zu halten)

#bocbvb",0,2,14,2,de,pitgottschalk,21386772,1652392947449573382,,,,,,1471972024444764166,SunShiner,0,"Mensch sein, Mensch bleiben",,https://pbs.twimg.com/profile_images/1483558791488671749/rSllCtCO_normal.jpg,5879,544,14,,7,2021-12-17T22:34:20,1639780460,retweet,1,,,,,,,,,2023-05-02T10:29:43.974049,https://twitter.com/shin22076561/status/1652451492861730816,,,,,,,,,,,SPORT1|dfbschiris|pitgottschalk,106053|1298963008761274368|21386772,FCBayern|bocbvb|bvb
1652458181526790145,1682811706,2023-04-29T23:41:46,bokaz0,RT @DAZN_DE: Sandro ist auch nicht zufrieden mit der Entscheidung kein Elfmeter zu pfeifen. #bundesliga #BOCBVB https://twitter.com/DAZN_DE/status/1652045134773493776/photo/1,0,0,0,0,de,,,,,,"München, Bayern",,,1255196609853480960,Jujur,0,2020,,https://pbs.twimg.com/profile_images/1255197094878621701/bNvuXfIb_normal.jpg,156,3,41,,1,2020-04-28T18:06:16,1588097176,,1,1652045134773493776,DAZN_DE,725354412684750848,1682713228,,,,,2023-05-02T10:29:43.974488,https://twitter.com/bokaz0/status/1652458181526790145,,,,,https://twitter.com/DAZN_DE/status/1652045134773493776/photo/1,,https://pbs.twimg.com/media/Fu0-ORKWIAsx-7n.jpg,1652458181526790145_Fu0-ORKWIAsx-7n.jpg,photo,,DAZN_DE,725354412684750848,BOCBVB|bundesliga
1652045134773493776,1682713228,2023-04-28T20:20:28,DAZN_DE,Sandro ist auch nicht zufrieden mit der Entscheidung kein Elfmeter zu pfeifen. #bundesliga #BOCBVB https://twitter.com/DAZN_DE/status/1652045134773493776/photo/1,0,63,3074,47,de,,,,,,Berlin / München,,,725354412684750848,DAZN DE,0,,,https://pbs.twimg.com/profile_images/1537453588112367618/2BXOUVTK_normal.jpg,40110,149538,1590,,444,2016-04-27T16:02:23,1461772943,retweet,1,,,,,,,,,2023-05-02T10:29:43.974402,https://twitter.com/DAZN_DE/status/1652045134773493776,,,,,https://twitter.com/DAZN_DE/status/1652045134773493776/photo/1,,https://pbs.twimg.com/media/Fu0-ORKWIAsx-7n.jpg,1652045134773493776_Fu0-ORKWIAsx-7n.jpg,photo,,,,BOCBVB|bundesliga
1652457299607273477,1682811496,2023-04-29T23:38:16,hendrik_meisner,"RT @mjrieger: Egal, wie schlecht die Leistung war: Könnte die Unart, Schiris direkt nach Abpfiff in der Kabine zusammenzuschreien, bitte mal aufhören und im Zweifel nachträglich bestraft werden? Brutal schlechtes Vorbild für den Amateurfußball, wo Ehrenamtler dann klein gemacht werden. #bocbvb https://twitter.com/mjrieger/status/1652223988087631878/photo/1",0,0,0,0,de,,,,,,"Innsbruck, Österreich",,,1084036150480855040,Hendrik Meisner,0,"Hildesheim - Jena - Kapstadt - Leipzig - Innsbruck | Dualer Student | ⚽🏐 | Social Media, Website und Öffentlichkeitsarbeit im Österreichischen Sport | er/ihn",,https://pbs.twimg.com/profile_images/1551890115814883329/3eWXhDVv_normal.jpg,1659,52,420,,1,2019-01-12T10:35:33,1547289333,,1,1652223988087631878,mjrieger,930864632,1682755870,,,,,2023-05-02T10:29:43.974778,https://twitter.com/hendrik_meisner/status/1652457299607273477,,,,,,,,,,,mjrieger,930864632,
1652223988087631878,1682755870,2023-04-29T08:11:10,mjrieger,"Egal, wie schlecht die Leistung war: Könnte die Unart, Schiris direkt nach Abpfiff in der Kabine zusammenzuschreien, bitte mal aufhören und im Zweifel nachträglich bestraft werden? Brutal schlechtes Vorbild für den Amateurfußball, wo Ehrenamtler dann klein gemacht werden. #bocbvb https://twitter.com/mjrieger/status/1652223988087631878/photo/1",0,17,138,15,de,,,,,,"Köln, Deutschland",,,930864632,Maximilian Rieger,0,"Radiojournalist @DLF_Sport. Studied @HHU_de, @nannenschule and @hochschulradio. Tweets mostly about sport, (US)-politics and media.",http://mjrieger.de,https://pbs.twimg.com/profile_images/770333509659557888/sNojSW0H_normal.jpg,9345,2261,2630,,39,2012-11-07T00:41:50,1352248910,retweet,1,,,,,,,,,2023-05-02T10:29:43.974745,https://twitter.com/mjrieger/status/1652223988087631878,,,,,https://twitter.com/mjrieger/status/1652223988087631878/photo/1,,,,,,,,bocbvb
1652455509650178048,1682811069,2023-04-29T23:31:09,schmetterleyn,"Es geht um Meisterschaft & Abstieg. Wenn eine potentiell elfmeterwürdige Situation auftritt, sollte der Schiedsrichter sich selbst absichern und den VAR nutzen. Mag kontrovers sein, sorgt aber für Sicherheit und alle profitieren. Gerade die Schiedsrichter. #BOCBVB",0,0,0,0,de,,,,,,,,,1632170978192007168,Schmetterleyn,0,"Ich verspüre den starken Drang, mich auszudrücken",,https://pbs.twimg.com/profile_images/1635763906776907780/uKuHFKqV_normal.jpg,13,0,83,,0,2023-03-05T00:07:50,1677974870,,1,,,,,,,,,2023-05-02T10:29:43.974900,https://twitter.com/schmetterleyn/status/1652455509650178048,,,,,,,,,,,,,BOCBVB
1652453935502839811,1682810693,2023-04-29T23:24:53,ebabilkusu_23,"RT @HostagePatients: ES GIBT EINE NACHRICHT VON YUSUF KERIMS MUTTER

 „Ich möchte der Öffentlichkeit danken, die der Stimme von Yusuf Kerim eine Stimme gegeben hat, die zu Yusufs Schreien und Tränen nicht geschwiegen hat.
#BOCBVB 
@troesmann @ZDFheute https://twitter.com/HostagePatients/status/1652404999975051264/video/1",0,0,0,0,de,,,,,,,,,1209233119632674819,Ragıp Karataş,0,"Gönlü güzel insanların peşine takıldık 
nasipte avrupa varmış",,https://pbs.twimg.com/profile_images/1244336213877821442/0owXqF5L_normal.jpg,19939,1627,1787,,1,2019-12-23T22:03:59,1577138639,,1,1652404999975051264,HostagePatients,1024012149985865728,1682799026,,,,,2023-05-02T10:29:43.975156,https://twitter.com/ebabilkusu_23/status/1652453935502839811,,,,,,,,,,,HostagePatients,1024012149985865728,
