id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,media_alt_texts,mentioned_names,mentioned_ids,hashtags
1652450102949158912,1682809780,2023-04-29T23:09:40,BirnstinglausRo,"#Kurier:
#ÖVP-#Haslauer landet nun doch bei #FPÖ-#Kickl.
Bei #SchwarzBlauRot macht die #SPÖ nicht mit.
Hätte er sich denken können.",0,0,3,1,de,,,,,,"Rom, Latium",,,706123898019049472,"Trude Beiler, Rom",0,"WAHLPROGNOSTIKERIN
Да здравствует Украина, долой Путина!
Putin Medwedew Lawrow Schoigu Kyrill ab nach Den Haag!
Xi Jinping begeht Völkermord an Uiguren
台湾万岁！",,https://pbs.twimg.com/profile_images/758995575370948612/OZ4sYH0__normal.jpg,40864,1273,1167,,18,2016-03-05T14:27:11,1457188031,,1,,,,,,,,,2023-05-02T10:31:00.348864,https://twitter.com/BirnstinglausRo/status/1652450102949158912,,,,,,,,,,,,,FPÖ|Haslauer|Kickl|Kurier|SPÖ|SchwarzBlauRot|ÖVP
1652449432846192640,1682809620,2023-04-29T23:07:00,BirnstinglausRo,"#SalzburgerNachrichten:
Alles deutet auf #SchwarzBlau in #Salzburg hin.
#ÖVP-#Haslauer wollte sich seine Bilanz nicht mit der #FPÖ als Koalitionspartner vermiesen, nun wird es trotzdem dazu kommen, #Svazek LHStv.",0,0,6,1,de,,,,,,"Rom, Latium",,,706123898019049472,"Trude Beiler, Rom",0,"WAHLPROGNOSTIKERIN
Да здравствует Украина, долой Путина!
Putin Medwedew Lawrow Schoigu Kyrill ab nach Den Haag!
Xi Jinping begeht Völkermord an Uiguren
台湾万岁！",,https://pbs.twimg.com/profile_images/758995575370948612/OZ4sYH0__normal.jpg,40864,1273,1167,,18,2016-03-05T14:27:11,1457188031,,1,,,,,,,,,2023-05-02T10:31:00.348991,https://twitter.com/BirnstinglausRo/status/1652449432846192640,,,,,,,,,,,,,FPÖ|Haslauer|Salzburg|SalzburgerNachrichten|SchwarzBlau|Svazek|ÖVP
1652432810458619905,1682805657,2023-04-29T22:00:57,DerHofnarr2,"RT @manu_nimbe: #zib2 Der alte wissenschaftsfeindliche Scheißer Haslauer gibt also der SPÖ die Schuld um mit den Nazis ins Bett hüpfen zu können.

Ah, der Kickl-Leitner Move.
Dass Leute immer noch die ÖVP wählen ist einfach nur mit Dummheit zu erklären
#oevp #Korruption",0,0,0,0,de,,,,,,"Wien, Österreich",,,1690809150,Der Hofnarr,0,Dieser Account wurde und ist gehackt 😀 Alle Tweets und RT verstehen sich als Satire 😉 for the fucking Lawyers 🖕🏻 #FTTB,,https://pbs.twimg.com/profile_images/1641496338062770176/LNCCn63p_normal.jpg,56523,1003,2321,,5,2013-08-22T11:49:40,1377172180,,1,1652041895147610137,manu_nimbe,4910530305,1682712455,,,,,2023-05-02T10:31:00.349192,https://twitter.com/DerHofnarr2/status/1652432810458619905,,,,,,,,,,,manu_nimbe,4910530305,zib2
1652041895147610137,1682712455,2023-04-28T20:07:35,manu_nimbe,"#zib2 Der alte wissenschaftsfeindliche Scheißer Haslauer gibt also der SPÖ die Schuld um mit den Nazis ins Bett hüpfen zu können.

Ah, der Kickl-Leitner Move.
Dass Leute immer noch die ÖVP wählen ist einfach nur mit Dummheit zu erklären
#oevp #Korruption",0,7,62,1,de,,,,,,Österreich,,,4910530305,Manu Nimbe,0,"M-32-Tiroler | Grün/Bier  | Slava Ukraini 🇺🇦  | Gaming,Humor und Memes |
FCK: Nazis/Putin/Covidioten/Klimawandel-Leugner/FPÖler/ÖVPler |",https://www.youtube.com/watch?v=xfr64zoBTAQ,https://pbs.twimg.com/profile_images/1648739676243492892/l8P8ca9e_normal.jpg,17111,322,430,,0,2016-02-14T21:42:27,1455486147,retweet,1,,,,,,,,,2023-05-02T10:31:00.349163,https://twitter.com/manu_nimbe/status/1652041895147610137,,,,,,,,,,,,,Korruption|oevp|zib2
1652424591162109955,1682803697,2023-04-29T21:28:17,KlausZechner,@mi_schbrot @barsforlife @schowiedaXian hab: st. jo! haslauer auf der fucking heidi gelesen-wurscht.^^  kernöl rockt.🙃,0,0,2,1,de,mi_schbrot,1415263324099469312,1652424070720364544,,,,,,3883998077,Klaus E.Z.,0,"socially unacceptable. extrem links. 
...und Musik, viel Musik.",,https://pbs.twimg.com/profile_images/1566066973695508480/TPBunzIf_normal.jpg,52700,1182,1891,,7,2015-10-06T21:19:43,1444166383,,1,,,,,,,,,2023-05-02T10:31:00.349298,https://twitter.com/KlausZechner/status/1652424591162109955,,,,,,,,,,,barsforlife|mi_schbrot|schowiedaXian,1045249166488870913|1415263324099469312|1449797358498324487,
1652421927485550592,1682803062,2023-04-29T21:17:42,BarbaraStoll9,"RT @MarkelGerald: https://www.sn.at/salzburg/landtagswahl-2023/die-spoe-zeigt-der-oevp-die-rote-karte-schwarz-blau-wird-immer-wahrscheinlicher-137908066

Ich mag Wilfried Haslauer nicht. 
Weder seine politischen Handlungen noch seinen persönlichen Auftritt. 

Aber das war polittaktisch ein echtes Meisterwerk - muss ich neidlos anerkennen. 

Jetzt wird Schwarz/ Blau möglicherweise tatsächlich Realität und… https://twitter.com/i/web/status/1652213404814147590",0,0,0,0,de,,,,,,Österreich,,,1341828194266132480,Barbara Stoll,0,,,https://pbs.twimg.com/profile_images/1616531222238306304/gIIk8eyV_normal.jpg,113,13,27,,0,2020-12-23T19:29:28,1608751768,,1,1652213404814147590,MarkelGerald,822774456951144450,1682753347,,,,,2023-05-02T10:31:00.350038,https://twitter.com/BarbaraStoll9/status/1652421927485550592,,,,,https://www.sn.at/salzburg/landtagswahl-2023/die-spoe-zeigt-der-oevp-die-rote-karte-schwarz-blau-wird-immer-wahrscheinlicher-137908066,,,,,,MarkelGerald,822774456951144450,
1652213404814147590,1682753347,2023-04-29T07:29:07,MarkelGerald,"https://www.sn.at/salzburg/landtagswahl-2023/die-spoe-zeigt-der-oevp-die-rote-karte-schwarz-blau-wird-immer-wahrscheinlicher-137908066

Ich mag Wilfried Haslauer nicht. 
Weder seine politischen Handlungen noch seinen persönlichen Auftritt. 

Aber das war polittaktisch ein echtes Meisterwerk - muss ich neidlos anerkennen. 

Jetzt wird Schwarz/ Blau möglicherweise tatsächlich Realität und… https://twitter.com/i/web/status/1652213404814147590",0,21,157,21,de,,,,,,,,,822774456951144450,Gerald markel,1,,,https://pbs.twimg.com/profile_images/1611794172935114752/fuBFtfyC_normal.jpg,3107,3778,456,,20,2017-01-21T11:54:51,1484999691,retweet,1,,,,,,,,,2023-05-02T10:31:00.349916,https://twitter.com/MarkelGerald/status/1652213404814147590,,,,,https://twitter.com/i/web/status/1652213404814147590|https://www.sn.at/salzburg/landtagswahl-2023/die-spoe-zeigt-der-oevp-die-rote-karte-schwarz-blau-wird-immer-wahrscheinlicher-137908066,,,,,,,,
1652416783595233281,1682801836,2023-04-29T20:57:16,LederAnita,"@MarkelGerald Ich mag Wilfried Haslauer nicht. Weder seine politischen Handlungen, noch seinen persönlichen Auftritt.",0,0,2,0,de,MarkelGerald,822774456951144450,1652213404814147590,,,,,,1427632747682611216,Anita Ana Banana,0,,,https://pbs.twimg.com/profile_images/1532437057108332551/qP7VazYt_normal.jpg,5855,139,282,,0,2021-08-17T14:06:49,1629209209,,1,,,,,,,,,2023-05-02T10:31:00.350234,https://twitter.com/LederAnita/status/1652416783595233281,,,,,,,,,,,MarkelGerald,822774456951144450,
1652412974441562115,1682800928,2023-04-29T20:42:08,ManniAT,"@MarkelGerald Für Haslauer war es vielleicht ein Meisterwerk. Hätte es Herpferd oder Nominik gemacht vielleicht auch.
Für einen ordentlichen Menschen mit Charakter ist es einfach eine niederterächtige Politshow.

Ach ja, ""niederterächtig"" hat er im Wahlkampf auch die FPÖ genannt.",0,0,5,1,de,MarkelGerald,822774456951144450,1652213404814147590,,,Linz Austria,,,25667697,Manfred Pohler 🕊️🇺🇦 💉💉💉,0,".NET focused developer (xamarin, C#, WPF, UWP, SQL Server, https://t.co/uQjjCp9Gil) former telerik MVP",http://www.manniat.net/,https://pbs.twimg.com/profile_images/1461420067204304898/kSGyhAni_normal.jpg,29729,1727,2116,,12,2009-03-21T12:30:03,1237638603,,1,,,,,,,,,2023-05-02T10:31:00.350339,https://twitter.com/ManniAT/status/1652412974441562115,,,,,,,,,,,MarkelGerald,822774456951144450,
1652410222382555139,1682800271,2023-04-29T20:31:11,TomMayerEuropa,"@abwerzger @svazek Neuwahlen gibt’s, wenn Parteien im Parlament keine Mehrheit für Regierung finden. Gut möglich, dass Schwarz-Blau kommt, ohne Haslauer? Aber mit Ex-Kurz-Mitarbeiter Stefan Schnöll als LH?
Würde internationaler Festspielstadt Salzburg nicht guttun, Kulturschaffende irritieren.",0,0,0,0,de,abwerzger,1011258769,1652395542222196738,,,Bruxelles,,,547173846,Thomas Mayer,0,"Gründungsmitglied von Der Standard, Europa/Nato-Korrespondent, zwitschere privat. Österreich ist meine Heimat, Brüssel meine Stadt, an vielen Orten zu Hause",https://derStandard.at,https://pbs.twimg.com/profile_images/2093006049/twitterfoto2_normal.jpg,133255,42608,1349,,690,2012-04-06T20:36:32,1333744592,,1,,,,,,,,,2023-05-02T10:31:00.350440,https://twitter.com/TomMayerEuropa/status/1652410222382555139,,,,,,,,,,,abwerzger|svazek,1011258769|1131147129215508480,
